feature,importance_gain
ab_nicu,880533.3996925354
mage_c,504635.25377988815
dbwt,224965.2299308777
ca_disor,219248.50251293182
ca_cchd,149566.53853464127
bmi,123433.37129354477
wtgain,108525.99728393555
gestrec10,101525.776968956
fagecomb,79953.21012973785
ab_aven1,66516.01503658295
year,34720.114699840546
mracehisp,31468.415204048157
meduc,25540.413053512573
ab_aven6,24290.30223417282
precare,20501.956540584564
dmeth_rec,19483.72682762146
bfacil3,17077.87900876999
rf_fedrg,15366.359919071198
rf_ghype,15360.712889671326
feduc,15288.798114776611
me_pres,12289.341256141663
fracehisp,12093.707489490509
ab_anti,11922.923306941986
rf_inftr,11558.690363883972
rf_phype,5169.499362945557
ca_hypo,5017.168355464935
pay_rec,4716.563339710236
rf_pdiab,4318.2220640182495
ca_mnsb,3963.2700567245483
ld_indl,3521.058968067169
rf_ppterm,3411.1399960517883
sex,3254.4332132339478
apgar5,3241.8545689582825
ca_anen,2844.644160270691
ca_gast,2736.150059700012
ld_augm,2220.99658870697
rf_ehype,2199.0367765426636
ab_surf,1435.821741104126
rf_gdiab,993.3552203178406
ab_seiz,288.9192409515381
