feature,importance_gain
ab_nicu,849438.0173325539
mage_c,508897.6543393135
dbwt,225832.8559808731
ca_disor,214363.9977607727
ca_cchd,154975.45382213593
bmi,114217.8670372963
wtgain,102781.17808628082
gestrec10,101806.8402004242
fagecomb,76822.70791578293
ab_aven1,76699.20915460587
year,33390.34131479263
mracehisp,30936.93883705139
meduc,25314.360949993134
ab_aven6,23648.424215316772
precare,19751.83007478714
dmeth_rec,19022.757692813873
bfacil3,16801.503972530365
rf_artec,16461.057505130768
rf_ghype,14936.847409248352
feduc,14349.677882671356
me_pres,12320.104163646698
ab_anti,12134.680301189423
fracehisp,11233.399284362793
rf_inftr,9819.856356143951
ca_cleft,7746.2820773124695
rf_phype,5341.402944564819
rf_pdiab,4397.922585487366
ca_hypo,4280.524382591248
ca_clpal,4146.941637992859
pay_rec,4138.041844367981
ca_limb,4078.194977283478
ld_indl,3497.5986666679382
sex,3281.5720858573914
rf_ppterm,3197.9497079849243
apgar5,2929.503502368927
ca_mnsb,2742.733908176422
ca_gast,2283.023805618286
rf_ehype,2086.4395327568054
ca_omph,2037.0310621261597
rf_fedrg,1989.3631300926208
ld_augm,1917.604907989502
ca_anen,1456.8518571853638
ab_surf,1445.3823614120483
wic,1283.717568397522
apgar10,1158.076506614685
rf_gdiab,1063.2975516319275
ca_cdh,883.9542679786682
ab_seiz,333.7327699661255
