feature,importance_gain
ab_nicu,249885.39089649916
mage_c,166140.77320098877
dbwt,105482.67307853699
ca_disor,71334.20988225937
bmi,64566.06560230255
wtgain,59686.04556512833
pwgt_r,59075.9612364769
ca_cchd,54851.37574887276
fagecomb,51672.79652798176
ab_aven1,43062.33274590969
gestrec10,36251.950209766626
year,19511.789851546288
meduc,10314.71792781353
mracehisp,10064.173073470592
ab_aven6,10050.000181794167
precare,9336.795523792505
feduc,8932.257455825806
dmeth_rec,7334.047198057175
fracehisp,6089.547412753105
ab_anti,5869.115659117699
me_pres,5461.51257121563
bfacil3,5143.973847180605
rf_ghype,5093.277516007423
rf_inftr,4429.121308803558
rf_artec,3438.1964542865753
ca_mnsb,2736.7565937042236
sex,2546.3903621435165
pay_rec,1934.9738585352898
rf_ppterm,1551.6583259105682
ca_clpal,1528.885550737381
rf_phype,1427.6544153690338
rf_pdiab,1418.342783331871
ld_indl,1117.6617832183838
rf_fedrg,957.3852981328964
ca_cleft,907.4536471366882
rf_gdiab,877.9884610176086
apgar5,695.1753319501877
ld_augm,598.6086155772209
ab_surf,588.3468980789185
ca_limb,411.18940472602844
wic,403.5390899181366
ca_hypo,339.2021987438202
ca_gast,325.0865116119385
rf_ehype,304.94020104408264
ca_anen,292.49839067459106
ca_cdh,213.11706852912903
ca_omph,212.38583874702454
apgar10,69.77439069747925
ab_seiz,10.483789920806885
