feature,mean_abs_shap
no_congen,3.8932161218466312
mage_c,0.5499259470421349
ab_nicu,0.5192459192906123
dbwt,0.24748406127442324
ca_cchd,0.22098055177787532
ca_disor,0.18653738625224012
gestrec10,0.16103255066324146
ca_cleft,0.10353737135995722
ca_clpal,0.08787479764788594
ca_omph,0.08410101873416145
mracehisp,0.0780855229482473
ca_hypo,0.07800453771327659
ca_limb,0.0751897294884237
wtgain,0.06446521790140698
ca_cdh,0.0622195236092114
ab_aven1,0.058152455092256916
ca_gast,0.051592730364100836
ca_mnsb,0.05001159101283339
no_abnorm,0.04820559614657999
ab_anti,0.047732028387112393
ca_anen,0.04739326838818706
precare,0.035979656525868424
fagecomb,0.02348058559071051
dmeth_rec,0.02260658212490243
bfacil3,0.021227238281592453
fracehisp,0.019717511499932013
ab_aven6,0.01810471528247128
meduc,0.016701051911939054
pwgt_r,0.016278663286935422
apgar5,0.015515128112767977
dob_wk,0.015166500179198093
ld_indl,0.01506895660816476
year,0.014301743549217177
me_pres,0.013894740834526064
dob_mm,0.012459100129960397
bmi,0.012052776197961624
rf_ghype,0.011921105460118802
rf_gdiab,0.009296666345989225
ab_seiz,0.009056241147617022
feduc,0.008486086512658555
rf_phype,0.008435021760423838
sex,0.008210904826815251
rf_pdiab,0.007775398856471947
ab_surf,0.005422381675833426
ld_augm,0.0042338318932022894
rf_ehype,0.0038362994511848274
rf_inftr,0.0037545699094897566
pay_rec,0.0035646877287287475
no_risks,0.0031716712262103925
rf_artec,0.001323824989120796
rf_fedrg,0.0011162372288069263
dob_tt_pm,0.0008052476965406883
rf_ppterm,0.0007904036312112141
wic,0.0007785079754055342
apgar10,0.0002930988787767064
