feature,mean_abs_shap
no_congen,3.6037627638359586
mage_c,0.5803795613819073
ab_nicu,0.45803463509161013
year,0.4440110274007416
dbwt,0.24464703195385518
ca_cchd,0.21031010693118965
ca_disor,0.19492338743671278
gestrec10,0.1678947688108938
ca_clpal,0.09468459257382718
no_abnorm,0.080791507099279
mracehisp,0.07908607596042352
ca_cleft,0.0711135134787371
wtgain,0.06894236611194952
ab_aven1,0.06233194245735424
ca_hypo,0.0573944923935228
ab_anti,0.04606927564795541
ca_mnsb,0.04425162859587152
ca_limb,0.043785902363829524
ca_cdh,0.04287344878837536
ca_anen,0.04231775244983575
ca_omph,0.035902889196522125
precare,0.035279625894173085
ca_gast,0.02776097860477337
dmeth_rec,0.024147408855101665
fracehisp,0.022100169048866546
bfacil3,0.021589967004922342
meduc,0.021121693873902322
bmi,0.019074017268690988
ab_aven6,0.018043672040005024
apgar5,0.016141628656435394
dob_wk,0.01582741734355142
ld_indl,0.014798740835501069
me_pres,0.013671982646822439
dob_mm,0.013271342751066544
fagecomb,0.012787092433934357
