feature,importance_gain
no_congen,3671363.337398529
ca_omph,2454795.021946907
ca_anen,2092792.3223695755
ca_limb,1813683.8682394028
ca_cdh,1421670.1977300644
ca_mnsb,1222765.7535705566
ca_clpal,1200196.5706210136
ca_gast,1038326.0194125175
ca_cchd,992557.1080098152
ca_disor,887202.1234784126
ca_cleft,739916.9118623734
ca_hypo,557077.7022361755
ab_nicu,306851.0495920181
mage_c,261482.7673997879
dbwt,136896.60198545456
fagecomb,44365.47816944122
gestrec10,41085.52701044083
wtgain,35352.11720991135
ab_aven1,19196.571219444275
mracehisp,16924.56891298294
pwgt_r,16089.266742706299
bmi,14486.689539909363
year,13294.846516609192
bfacil3,12143.813588142395
no_abnorm,11919.981783866882
ab_anti,11095.906811714172
dob_mm,9525.955800056458
dmeth_rec,9087.782894611359
precare,7558.347505092621
meduc,6235.431801319122
ld_indl,5384.77947473526
ab_aven6,5131.023163795471
apgar5,4697.697256565094
fracehisp,4107.397427082062
dob_wk,3728.2010912895203
me_pres,3212.1206378936768
rf_ghype,2898.675202846527
sex,2837.413595676422
rf_inftr,2692.6304149627686
feduc,2667.2201137542725
rf_pdiab,2644.9485907554626
rf_gdiab,2338.9979696273804
rf_phype,2125.277204990387
ld_augm,1307.7857542037964
no_risks,1178.2314949035645
ab_surf,1046.8555088043213
rf_artec,966.0500783920288
rf_ppterm,895.5877594947815
rf_fedrg,732.0757961273193
wic,705.4788193702698
ab_seiz,698.9262886047363
pay_rec,690.1740984916687
dob_tt_pm,621.2526416778564
apgar10,319.2970986366272
rf_ehype,276.4635982513428
