feature,importance_mean,importance_std
no_congen,0.5215185406000167,0.0004218347000223776
ca_cchd,0.3267270628430691,0.001612833700330301
ca_disor,0.23668415706573862,0.0019835428497030775
ca_cleft,0.09134429512869466,0.0020927227960127475
ca_omph,0.08817143076138978,0.001224262023481913
ca_limb,0.08462727940041835,0.0007537676747418636
ca_hypo,0.07217160092144351,0.001737851852272473
ca_clpal,0.06181003884761623,0.0014389283490015992
ca_mnsb,0.05778482150187621,0.0015684609239219878
ca_cdh,0.056457057882667784,0.0016945790580899392
ca_anen,0.05528257612394179,0.001567070275350478
ca_gast,0.0541591505166811,0.0015521333224612877
year,0.021098372590479447,0.0005055642826019749
mage_c,0.008783216635842833,0.000784757369111132
ab_nicu,0.0037083963708381684,0.0003769644933927114
no_abnorm,0.0030379160439400034,0.00024083844133558345
dbwt,0.003029820461367033,0.0003968621809569184
gestrec10,0.0019258959675878483,0.0002898390860192983
dmeth_rec,0.000828371348647633,0.00022371605770653567
wtgain,0.0007194355632167637,0.0001469737164768851
bmi,0.0005336419453874364,0.00010197636069845614
mracehisp,0.0005151389543595786,0.00017266228234761634
ab_aven1,0.0004207092053604866,0.0001314870594095537
meduc,0.00041334962772587305,0.00011202802566930157
me_pres,0.0003789573815469738,7.619332988113676e-05
precare,0.00029209350053107654,7.783050856440044e-05
ld_indl,0.00029101270843207017,9.230686688617029e-05
ab_anti,0.00025105132232098313,0.0001105109791316676
bfacil3,0.00024035794675600908,6.709867322922162e-05
fracehisp,0.00019177380232658913,5.519829983495968e-05
ab_aven6,0.00015044832388435013,8.510831866649108e-05
apgar5,0.00012783499211290738,9.276823909666643e-05
dob_mm,4.908436109039016e-05,5.45134964053719e-05
dob_wk,2.4721901361496322e-05,3.596903847806452e-05
fagecomb,-1.670347063845168e-05,5.3145005999676837e-05
