feature,importance_gain
ab_nicu,139896.6438846588
mage_c,67564.61404967308
dbwt,28075.577023983
ca_disor,25171.38624382019
ca_cchd,17201.080963611603
gestrec10,14982.380914211273
wtgain,12411.057489871979
bmi,11246.1666431427
pwgt_r,9652.857905864716
fagecomb,8804.324731826782
ab_aven1,5821.093910694122
mracehisp,5545.96771645546
precare,5447.467593669891
meduc,5430.837180614471
year,4732.98836183548
feduc,3908.4929683208466
ab_aven6,2859.0745425224304
dmeth_rec,2516.1267671585083
rf_artec,2379.528401851654
rf_ghype,2168.9868121147156
fracehisp,2098.9764227867126
bfacil3,2013.636827468872
pay_rec,1399.6080603599548
me_pres,1367.1629843711853
ca_cleft,1347.8035745620728
ab_anti,1139.6806201934814
rf_inftr,1126.0414128303528
ca_clpal,1083.385838508606
ca_anen,854.0439758300781
rf_pdiab,743.3626489639282
ca_mnsb,729.2577841281891
rf_phype,718.0676112174988
sex,630.3302183151245
ca_cdh,534.9813003540039
ld_indl,501.67583084106445
apgar5,468.03425121307373
rf_ppterm,438.7989001274109
wic,385.79223012924194
ca_gast,316.0878677368164
ld_augm,227.92951011657715
ca_omph,225.7674217224121
ca_hypo,185.2258801460266
ca_limb,159.45494079589844
ab_surf,143.72484970092773
rf_fedrg,108.23591995239258
rf_ehype,96.29109954833984
rf_gdiab,87.50426054000854
apgar10,0.0
ab_seiz,0.0
