feature,importance_gain
ab_nicu,138695.2248520851
mage_c,68208.09313988686
dbwt,28011.844787836075
ca_disor,24618.522130966187
ca_cchd,17503.220315933228
gestrec10,15390.074788331985
wtgain,13692.945706367493
bmi,11637.072047472
pwgt_r,10018.954243659973
ab_aven1,6504.099928855896
mracehisp,5701.084297418594
meduc,5457.854278564453
precare,5241.061168670654
year,4363.775279283524
feduc,4179.133668899536
ab_aven6,2683.38520526886
fracehisp,2475.5868167877197
rf_artec,2444.1300020217896
dmeth_rec,2228.3302431106567
rf_ghype,2043.2531986236572
bfacil3,1998.204839706421
ca_cleft,1593.8076639175415
ca_clpal,1547.3074288368225
pay_rec,1401.053490638733
me_pres,1334.2776560783386
ab_anti,1225.5672092437744
rf_inftr,1160.7622318267822
ca_mnsb,1002.2938413619995
rf_phype,751.9184141159058
rf_pdiab,706.7628979682922
ca_gast,652.5660576820374
sex,620.5358366966248
ca_anen,495.48800468444824
apgar5,471.4738874435425
ld_indl,452.9218692779541
rf_ppterm,383.2398200035095
ab_surf,196.5442099571228
ld_augm,166.11857986450195
ca_cdh,131.68539810180664
