feature,mean_abs_shap
ab_nicu,1.0288427861355185
mage_c,0.7924399145063489
dbwt,0.3258314974830508
gestrec10,0.324509675734167
ab_aven1,0.18517647807446552
mracehisp,0.12087274738514699
ca_cchd,0.11557154198177785
ca_disor,0.09947823798161896
wtgain,0.08509520139940598
ab_aven6,0.07124154146771429
meduc,0.06351108901914933
dmeth_rec,0.05995550706096563
year,0.05818168228863505
bmi,0.05568238051374103
pwgt_r,0.04910291780963068
precare,0.04756004606067766
rf_ghype,0.04553713761958806
feduc,0.03402365331042172
fracehisp,0.03266766738162693
ab_anti,0.02866672001893475
pay_rec,0.02648918139903887
me_pres,0.02545981490748462
bfacil3,0.023406560023692395
fagecomb,0.023147166780196477
rf_artec,0.017896730045365416
rf_inftr,0.011930494055863822
sex,0.0112081030560401
rf_phype,0.010827831678402766
ca_cleft,0.010167462421309687
apgar5,0.009126498036902346
rf_pdiab,0.008412831538495095
ld_indl,0.007273001299292807
ca_clpal,0.006660947823055504
rf_ppterm,0.005284053119814722
wic,0.004976288924873315
ca_cdh,0.0030378641621172076
ca_mnsb,0.0030251075824619896
ca_anen,0.0030113369720133187
ld_augm,0.002963816019914934
ca_gast,0.0021478543468097674
ca_limb,0.001506362646642103
ca_hypo,0.0014271000250119924
rf_gdiab,0.0012726703702095317
ca_omph,0.0012629908675008117
rf_fedrg,0.0011712006838718457
ab_surf,0.0010478061223032466
rf_ehype,0.001000129230889352
apgar10,0.0
ab_seiz,0.0
