feature,mean_abs_shap
ab_nicu,1.03218942668759
mage_c,0.7933329198143891
gestrec10,0.32287368944765993
dbwt,0.32109664028883445
ab_aven1,0.18507154348286722
mracehisp,0.11814289517381274
ca_cchd,0.11498989272951723
ca_disor,0.09718374289134106
wtgain,0.085054965764452
ab_aven6,0.06998914620096831
dmeth_rec,0.06220872148243001
meduc,0.06133803910566758
bmi,0.05696507566696172
year,0.054555201895590495
pwgt_r,0.04849041889921511
precare,0.04741078222598101
rf_ghype,0.04568199509081272
fracehisp,0.03659097906594386
feduc,0.03532696825507328
ab_anti,0.027893662944919365
me_pres,0.025221000298020414
pay_rec,0.024079195917244167
bfacil3,0.023360760120513004
rf_artec,0.018779285568281876
rf_inftr,0.01287415514804364
ca_cleft,0.012544011982316798
sex,0.010454910798317764
rf_phype,0.009936563090571835
ca_clpal,0.008825830273859442
rf_pdiab,0.008727053209856568
apgar5,0.008533086735869617
ld_indl,0.007239081843052672
rf_ppterm,0.005292579254247189
ca_mnsb,0.004816515517048453
ca_gast,0.003897614650581305
ld_augm,0.003029396926657956
ca_anen,0.0018671288809674264
ab_surf,0.001140090862829494
ca_cdh,0.0008693047702287556
