feature,mean_abs_shap
ab_nicu,0.9471294898766213
mage_c,0.7583906338891517
dbwt,0.3593771710040999
gestrec10,0.306800037986967
ab_aven1,0.2122194473437087
mracehisp,0.12531038059046115
wtgain,0.08876819037741965
ca_cchd,0.08189541504921358
ca_disor,0.07395673480227137
year,0.0647030861834203
dmeth_rec,0.0618954717098034
meduc,0.060075200982875304
ab_aven6,0.053595183370560705
precare,0.048672991964601744
rf_ghype,0.04767433526924261
fracehisp,0.04476130000961609
bmi,0.04008888660665291
feduc,0.03900956668669753
me_pres,0.038384772837109206
ab_anti,0.03122977631363423
bfacil3,0.027868041403935166
fagecomb,0.024586721216254603
pay_rec,0.0208258789062127
rf_inftr,0.01838711580926109
rf_phype,0.010446339354635334
rf_fedrg,0.00985331968869931
apgar5,0.009510649008957615
sex,0.008842428533549834
rf_pdiab,0.0072073359050950185
ld_augm,0.006182326456599228
ld_indl,0.00589765228817701
rf_ppterm,0.004790702715799354
ca_hypo,0.0037541250125014995
ca_anen,0.0030303526684617972
rf_ehype,0.0023271739029163017
ca_mnsb,0.002024293974577136
ca_gast,0.0014464359983825635
ab_surf,0.0004303924698405512
rf_gdiab,0.00033371739146593343
ab_seiz,6.637976877614468e-06
