feature,importance_gain
ab_nicu,874713.5050833225
mage_c,528692.5136523247
ca_disor,227301.84078788757
dbwt,167951.98872685432
ca_cchd,132412.4314749241
gestrec10,116704.38205122948
ab_aven1,79982.44138813019
wtgain,43350.768292188644
bmi,40729.28089237213
mracehisp,33530.854236364365
meduc,29443.00950694084
fagecomb,28827.861423254013
ab_aven6,27826.022062540054
precare,21102.99147462845
dmeth_rec,19774.356982946396
feduc,16067.372271060944
year,14681.350975751877
rf_ghype,14583.174357175827
fracehisp,12340.68158864975
bfacil3,12217.301433563232
rf_inftr,12168.629816532135
rf_artec,11741.618292808533
ab_anti,9544.186443805695
me_pres,7457.66909122467
pay_rec,5094.402590274811
ca_clpal,4050.6284942626953
rf_phype,3830.0596392154694
rf_pdiab,3575.0888509750366
ca_cleft,3507.3617825508118
rf_fedrg,3386.3716106414795
ca_omph,2470.0400381088257
apgar5,2244.214851140976
ca_limb,1951.4828386306763
sex,1887.6485509872437
rf_ehype,1786.572026014328
ca_anen,1486.6762170791626
rf_ppterm,1484.0857305526733
ld_indl,1213.2572281360626
ld_augm,1166.4786291122437
ca_gast,1116.9738867282867
ca_mnsb,1104.3543219566345
ca_cdh,694.9910645484924
wic,526.6294951438904
ca_hypo,508.43911027908325
ab_surf,216.47391748428345
apgar10,196.7388710975647
rf_gdiab,80.13856029510498
ab_seiz,36.90817975997925
