feature,importance_mean,importance_std
mage_c,0.0120251326712888,0.00048717838169231047
ca_cchd,0.012020050418448981,0.0005148415969316406
ca_disor,0.01105889760848201,0.00047487036185107814
ab_nicu,0.005391353991921146,0.0004985256704176551
dbwt,0.0033756756813563098,0.0004608569448811929
gestrec10,0.002016756181513197,0.000351522333617413
dmeth_rec,0.0014304668037991963,0.00053517071339977
ab_aven1,0.0011289811271364997,0.0001867529958330273
bfacil3,0.0008880828618860883,0.00017320386575704906
meduc,0.0007725876196537487,0.00015116744687943597
ab_aven6,0.0007132129465362028,0.000147419270977813
wtgain,0.0006993911906825429,0.00024674701404430144
bmi,0.0005632556476820952,0.0002399194582029118
year,0.0005141766393149249,0.0002206071292128076
mracehisp,0.00045393895956407254,0.0002086932036420459
precare,0.00041889164555488983,0.00021558846493086105
me_pres,0.0003178837773603647,0.00012340248998237292
rf_phype,0.0003061091265327779,0.00011524582076292758
ab_anti,0.00021449286227904417,0.0001187797418128662
feduc,0.0001888953812341578,9.611549852418345e-05
pay_rec,0.00016891651468020074,5.2909554879477894e-05
sex,0.00015113656375264836,7.489950111250325e-05
rf_inftr,0.0001214184663183078,0.00011223270698804527
rf_ghype,0.00010680331859849908,0.00024464253715085374
apgar5,4.349445020657983e-05,3.6524929363072046e-05
ld_augm,3.69604614183356e-05,5.2487518449948954e-05
ld_indl,3.391381398429663e-05,1.9658935065847567e-05
rf_fedrg,2.277306335232189e-05,0.00011404198476641036
fracehisp,-4.9598570512479274e-05,8.470841332681756e-05
fagecomb,-0.00012844305506026047,0.00015265556404128505
