feature,importance_gain
ab_nicu,874744.2780871391
mage_c,528142.2240974903
ca_disor,230392.60776638985
dbwt,176528.8572423458
ca_cchd,134899.68024110794
gestrec10,117092.61070299149
ab_aven1,93079.84554338455
wtgain,49088.015711545944
bmi,46711.74272727966
mracehisp,35702.79029130936
meduc,32074.269330978394
fagecomb,29916.454479932785
precare,25496.053471565247
ab_aven6,20706.403105974197
dmeth_rec,20501.519315242767
feduc,18432.696235895157
year,16528.066825389862
rf_ghype,15028.221175193787
fracehisp,14181.346945047379
rf_fedrg,13020.795971870422
bfacil3,12554.04506444931
rf_inftr,12231.428124189377
ab_anti,9523.062686443329
me_pres,7960.315696954727
pay_rec,6025.491829156876
rf_phype,4351.764331579208
rf_pdiab,3858.7343497276306
ca_hypo,3273.384108543396
ca_gast,2680.8364663124084
ca_anen,2546.103289604187
apgar5,2450.347092151642
sex,2253.328677415848
ca_mnsb,2153.566155195236
rf_ehype,1962.7957456111908
rf_ppterm,1647.2756052017212
ld_indl,1505.8084797859192
ld_augm,1228.9270331859589
ab_surf,285.7644376754761
rf_gdiab,92.26718997955322
ab_seiz,7.817039966583252
