feature,importance_gain
ab_nicu,1102602.3344192505
mage_c,660499.7055811882
ca_disor,312404.83095502853
dbwt,307918.66123342514
bmi,173138.80741214752
ca_cchd,172384.35672283173
wtgain,157935.29580116272
gestrec10,129733.84516239166
fagecomb,118864.02115011215
ab_aven1,90530.90834283829
year,58706.23524236679
ab_aven6,43105.418216228485
mracehisp,37985.51285362244
dmeth_rec,33408.087196826935
meduc,25379.587027549744
rf_ghype,20740.56720685959
me_pres,20406.446580410004
precare,20183.580622196198
rf_inftr,18708.94797515869
bfacil3,18532.7479057312
ab_anti,16929.994495391846
rf_artec,15891.77824306488
feduc,13823.212213516235
fracehisp,9895.954895019531
ca_cleft,8477.505475521088
wic,5961.825229167938
ld_indl,5310.204260826111
rf_phype,4788.544613838196
rf_pdiab,4669.81885766983
sex,4497.86723613739
rf_ppterm,4142.160254001617
ld_augm,3942.2242794036865
ca_clpal,3900.3315529823303
pay_rec,3650.939723968506
rf_gdiab,3502.338991165161
ca_limb,3377.2791957855225
ca_mnsb,3167.4737029075623
apgar5,2173.392744541168
rf_ehype,2066.6279850006104
rf_fedrg,1876.8497309684753
ca_gast,1686.0512056350708
ca_omph,1371.486744403839
ca_hypo,1240.0796194076538
apgar10,1164.2067160606384
ab_surf,1133.2920956611633
ca_anen,808.5808591842651
ab_seiz,278.1109495162964
ca_cdh,201.27286911010742
