feature,importance_gain
ab_nicu,1340227.5866007805
mage_c,923156.9167237282
dbwt,473117.4091887474
ca_disor,407755.9155228138
bmi,298784.70713472366
ca_cchd,262821.49771642685
wtgain,253042.54393720627
fagecomb,199998.15957212448
gestrec10,194607.08630275726
ab_aven1,155735.67851495743
year,102951.6604976654
ab_aven6,66214.80150413513
mracehisp,55532.98987555504
dmeth_rec,46498.2854449749
meduc,41065.36151266098
ab_anti,36367.73578763008
precare,31804.134174346924
rf_ghype,30993.172538757324
me_pres,30081.284936904907
bfacil3,29557.11462688446
rf_inftr,28054.915051460266
feduc,24170.131585597992
wic,19137.711768627167
rf_artec,17582.33649110794
fracehisp,16935.793675899506
ca_cleft,13743.085415363312
ca_clpal,13380.798037528992
ld_indl,12793.949589252472
rf_phype,11130.677390098572
rf_pdiab,9119.474746465683
ca_limb,8957.676248073578
sex,8334.35661315918
pay_rec,8048.992764472961
ca_omph,7963.027542114258
rf_gdiab,7421.965459108353
rf_ppterm,6692.84209728241
ca_hypo,6289.0748410224915
ld_augm,6102.109916448593
rf_fedrg,5662.417122840881
apgar5,5584.317311048508
ab_surf,4361.486088991165
rf_ehype,2918.2230105400085
ca_anen,2493.4709148406982
ca_gast,2248.7945861816406
ca_mnsb,2099.203812599182
apgar10,1495.1958527565002
ab_seiz,1367.9978790283203
ca_cdh,954.3219609260559
