feature,importance_gain
ab_nicu,1333776.9124779701
mage_c,945463.073123455
dbwt,462424.9094119072
ca_disor,402138.0185275078
bmi,280467.44451093674
ca_cchd,255912.42196559906
wtgain,243099.3706111908
gestrec10,195095.56670808792
fagecomb,193678.83829784393
ab_aven1,178438.42684316635
year,94392.91376256943
ab_aven6,54595.066934108734
mracehisp,54429.44608640671
dmeth_rec,45599.74080371857
meduc,41317.37176942825
rf_inftr,38667.13528108597
ab_anti,37622.32904672623
rf_ghype,32002.77547311783
precare,31745.895304203033
me_pres,29312.84738588333
bfacil3,29171.306722164154
feduc,24040.329414367676
fracehisp,17693.23083305359
ld_indl,13694.923014640808
rf_phype,11858.23523902893
rf_fedrg,10631.73179101944
rf_pdiab,9002.232862472534
pay_rec,8682.618463516235
sex,7707.408586502075
rf_gdiab,7458.828513145447
ld_augm,6923.41696023941
rf_ppterm,6454.302670955658
apgar5,5815.090522289276
ca_hypo,5377.1111760139465
ca_anen,4286.031825065613
ab_surf,4236.208148956299
ca_mnsb,3101.001730442047
rf_ehype,2843.2295298576355
ca_gast,2663.763349056244
ab_seiz,1096.9639673233032
