feature,mean_abs_shap
ab_nicu,0.895915678854653
mage_c,0.7457711417993034
dbwt,0.330391146497126
gestrec10,0.2879480262979214
ab_aven1,0.2045852611281042
mracehisp,0.11344691011372186
ca_cchd,0.09530254282017735
wtgain,0.09194205139476866
ca_disor,0.08602908404671916
ab_aven6,0.06508428677772392
dmeth_rec,0.057009276120912764
rf_ghype,0.04626328972640663
fagecomb,0.046136145362090895
year,0.04608371033631093
meduc,0.04559380180976076
ab_anti,0.041001152030112356
precare,0.040334655408602045
bmi,0.03726595453808429
me_pres,0.03156453330261494
feduc,0.031280886861518496
fracehisp,0.03116423531258551
bfacil3,0.02035198866859851
rf_inftr,0.01954042828838479
pay_rec,0.014551965049055255
rf_phype,0.01043266478236426
rf_artec,0.00913109656151811
wic,0.00863138519489698
rf_pdiab,0.008005816517106981
ld_indl,0.00763163852337153
sex,0.006878227095336279
ca_clpal,0.005716802397870849
apgar5,0.00544934052555958
ab_surf,0.005448770327373399
ld_augm,0.005057640307415009
ca_cleft,0.004772600236099394
ca_omph,0.004421180733099454
rf_gdiab,0.004129257114680123
rf_ppterm,0.004042808908584466
ca_limb,0.003944570589745057
rf_fedrg,0.0022653227328654126
rf_ehype,0.0019822396331499754
ca_hypo,0.001977858686398793
ca_anen,0.0018435302789474959
ca_gast,0.0008708284116869346
ca_mnsb,0.000819176637284023
ab_seiz,0.00048354199693090603
apgar10,0.00040118079633218255
ca_cdh,0.0003088882656674424
